CCG,CCG20NM
07L,NHS Barking and Dagenham CCG
02P,NHS Barnsley CCG
99E,NHS Basildon and Brentwood CCG
02Q,NHS Bassetlaw CCG
06F,NHS Bedfordshire CCG
00Q,NHS Blackburn with Darwen CCG
00R,NHS Blackpool CCG
00T,NHS Bolton CCG
07P,NHS Brent CCG
09D,NHS Brighton and Hove CCG
00V,NHS Bury CCG
02T,NHS Calderdale CCG
06H,NHS Cambridgeshire and Peterborough CCG
04Y,NHS Cannock Chase CCG
99F,NHS Castle Point and Rochford CCG
09A,NHS Central London (Westminster) CCG
00X,NHS Chorley and South Ribble CCG
07T,NHS City and Hackney CCG
05A,NHS Coventry and Rugby CCG
02X,NHS Doncaster CCG
11J,NHS Dorset CCG
05C,NHS Dudley CCG
07W,NHS Ealing CCG
06K,NHS East and North Hertfordshire CCG
01A,NHS East Lancashire CCG
03W,NHS East Leicestershire and Rutland CCG
02Y,NHS East Riding of Yorkshire CCG
05D,NHS East Staffordshire CCG
10K,NHS Fareham and Gosport CCG
11M,NHS Gloucestershire CCG
03A,NHS Greater Huddersfield CCG
01F,NHS Halton CCG
08C,NHS Hammersmith and Fulham CCG
08E,NHS Harrow CCG
08F,NHS Havering CCG
06N,NHS Herts Valleys CCG
01D,"NHS Heywood, Middleton and Rochdale CCG"
08G,NHS Hillingdon CCG
07Y,NHS Hounslow CCG
03F,NHS Hull CCG
06L,NHS Ipswich and East Suffolk CCG
10L,NHS Isle of Wight CCG
11N,NHS Kernow CCG
01J,NHS Knowsley CCG
04C,NHS Leicester City CCG
99A,NHS Liverpool CCG
06P,NHS Luton CCG
06Q,NHS Mid Essex CCG
04F,NHS Milton Keynes CCG
08M,NHS Newham CCG
06T,NHS North East Essex CCG
99M,NHS North East Hampshire and Farnham CCG
03H,NHS North East Lincolnshire CCG
10J,NHS North Hampshire CCG
03J,NHS North Kirklees CCG
03K,NHS North Lincolnshire CCG
05G,NHS North Staffordshire CCG
99C,NHS North Tyneside CCG
00L,NHS Northumberland CCG
00Y,NHS Oldham CCG
10Q,NHS Oxfordshire CCG
10R,NHS Portsmouth CCG
08N,NHS Redbridge CCG
03L,NHS Rotherham CCG
01G,NHS Salford CCG
05L,NHS Sandwell and West Birmingham CCG
03N,NHS Sheffield CCG
05N,NHS Shropshire CCG
11X,NHS Somerset CCG
05Q,NHS South East Staffordshire and Seisdon Peninsula CCG
10V,NHS South Eastern Hampshire CCG
01T,NHS South Sefton CCG
00N,NHS South Tyneside CCG
05R,NHS South Warwickshire CCG
10X,NHS Southampton CCG
99G,NHS Southend CCG
01V,NHS Southport and Formby CCG
01X,NHS St Helens CCG
05V,NHS Stafford and Surrounds CCG
01W,NHS Stockport CCG
05W,NHS Stoke on Trent CCG
00P,NHS Sunderland CCG
10C,NHS Surrey Heath CCG
01Y,NHS Tameside and Glossop CCG
05X,NHS Telford and Wrekin CCG
07G,NHS Thurrock CCG
08V,NHS Tower Hamlets CCG
02A,NHS Trafford CCG
03Q,NHS Vale of York CCG
03R,NHS Wakefield CCG
05Y,NHS Walsall CCG
08W,NHS Waltham Forest CCG
02E,NHS Warrington CCG
05H,NHS Warwickshire North CCG
07H,NHS West Essex CCG
11A,NHS West Hampshire CCG
02G,NHS West Lancashire CCG
04V,NHS West Leicestershire CCG
08Y,NHS West London CCG
07K,NHS West Suffolk CCG
02H,NHS Wigan Borough CCG
12F,NHS Wirral CCG
06A,NHS Wolverhampton CCG
13T,NHS Newcastle Gateshead CCG
01H,NHS North Cumbria CCG
14L,NHS Manchester CCG
15E,NHS Birmingham and Solihull CCG
15A,NHS Berkshire West CCG
15C,"NHS Bristol, North Somerset and South Gloucestershire CCG"
14Y,NHS Buckinghamshire CCG
15D,NHS East Berkshire CCG
15F,NHS Leeds CCG
02M,NHS Fylde and Wyre CCG
01E,NHS Greater Preston CCG
01K,NHS Morecambe Bay CCG
15M,NHS Derby and Derbyshire CCG
15N,NHS Devon CCG
92G,"NHS Bath and North East Somerset, Swindon and Wiltshire CCG"
36J,NHS Bradford District and Craven CCG
27D,NHS Cheshire CCG
84H,NHS County Durham CCG
97R,NHS East Sussex CCG
18C,NHS Herefordshire and Worcestershire CCG
91Q,NHS Kent and Medway CCG
71E,NHS Lincolnshire CCG
26A,NHS Norfolk and Waveney CCG
93C,NHS North Central London CCG
42D,NHS North Yorkshire CCG
78H,NHS Northamptonshire CCG
52R,NHS Nottingham and Nottinghamshire CCG
72Q,NHS South East London CCG
36L,NHS South West London CCG
92A,NHS Surrey Heartlands CCG
16C,NHS Tees Valley CCG
70F,NHS West Sussex CCG
